Gouvernorat,Délégation,Localité,Texte annonce,Prix,Date
Sousse,Akouda,Chatt Meriem,Terrain 740m vue de mer prés koussour gharnata#la sté akariet sarraj propose de #vente #terrain (#740m²)#vue de mer #prés de #koussour gharnata à #gauche #papiers en règle prix: #300dt/m² (#un peux négociable) #vente#terrain#agence ...,222 000,16/11/2023
Nabeul,Kelibia,Kerkouane,"Terrain de 1600  mètre carré  a kerkouaneun terrain à vendre pour investissement touristique écologique, titre foncier  collectif de vocation agricole avec vue façade sur mer magique. région : nabeul- kerkouane. superficie : 1600 m ...",960 000,10/03/2025
Nabeul,Kelibia,Dar Allouche,"Terrain de 1150 mètre carré  a dar alloucheun terrain à vendre pour investissement touristique écologique, titre foncier  collectif de vocation agricole avec vue façade sur mer magique. région : nabeul- dar allouche. superficie : 115 ...",920 000,10/03/2025
Nabeul,Kelibia,Kelibia,"Terrain de 780 mètre carré a  kelibiaun terrain à vendre pour investissement touristique écologique, titre foncier  collectif de vocation agricole avec vue façade sur mer magique. région : nabeul-kelibia superficie : 780 m²  <b ...",1 950 000,10/03/2025
Nabeul,El Haouaria,El Haouaria,Terrain de 970 mètre  carré  a el haouariaun merveilleux terrain titre foncier collectif agricole avec façade sur mer de el haouaria. superficie 970  m² pour accueillir votre futur projet touristique. prix :970 md  contact direct av ...,970 000,10/03/2025
Nabeul,Hammam El Ghezaz,Ezzahra,"5000 metre caree a hammam el ghezaz ezzahraa partager un terrain de 5000 m² titre foncier , situé entre kelibia et elhaouria avec accès direct à  la plage dezzahra hammam elghezaz.  prix : 200 md avec facilite de paiement offre valable j ...",200 000,06/08/2024
Nabeul,Hammam El Ghezaz,Tamazrat,Terrai a tamazrat de 2500 mètre carrénous vous offrons une opportunité de terrain en tunisie  de titre foncier collectif au bord de la plage hammam el ghezez tamazrat. surface : 2500 m² prix : 1250 md   pour plus d informa ...,1 250 000,10/03/2025
Nabeul,Hammam El Ghezaz,Hammam Jebli,1300 mètre carré  au bord de la merun terrain de 1300 m²  à vendre pour investissement touristique écologique titre foncier  collectif entre hammam jebli et kerkouane. prix :1690 md.  pour plus dinformation appeler : 2730789 .,1 690 000,10/03/2025
Nabeul,Hammam El Ghezaz,Ezzahra,1070  mètre carré au bord de la mernous vous offrons une opportunité de terrain en tunisie  de titre foncier collectif au bord de la plage hammam el ghezez. surface : 1070 m² prix : 1819 md     pour plus d informations c ...,1 819 000,10/03/2025
Nabeul,Kelibia,Kerkouane,Occasion magnifique a partagera partager un terrain de 1000 m²  titre foncier  situe a hammam el ghazaz kelibia avec facade sur mer .prix 63   md avec facilite de paiement  offre valable jusqu au le 30/06/2025 tel : 99307890,63 000,04/11/2024
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,Un meilleur investissement  au cap bonnous vous offrons une opportunité de terrain en tunisie  de titre foncier collectif au bord de la plage hammam el ghezez. surface : 1070 m² prix : 1819 md     pour plus d informations c ...,1 819 000,10/03/2025
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,1000 metre carre à hammam el ghezazon  propose un terrain de 1000 m²  de titre foncier avec vue imprenable sur la mer situés entre hammam jebli et hammam elghezaz prix 63 md avec facilite de paiement  pour plus dinformations ...,63 000,05/08/2024
Nabeul,Kelibia,Kerkouane,Affaire de 2350 mètre carré a kerkouanea vendre un terrain de 2350 m² titre foncier collectif avec accès directe a la plage kerkouane. prix :1410 md   pour plus dinfo  27307890,1 410 000,10/03/2025
Nabeul,Hammam El Ghezaz,Hammam Jebli,"Affaire a sasir de terrain au cap bona vendre un terrain de 1000 m² titre foncier , 1ere position a la plage dezzahra kelibia emplacement dinvestissement avec façade sur mer panoramique  prix : 63 md avec facilite de paiement  <br ...",63 000,05/08/2024
Nabeul,Kelibia,Dar Allouche,Bonne affaire  de 913 mètre carré agricoledes terrains avec vue imprenable sur la mer. superficie à partir de 913 m² à dar allouche dans une zone en pleine expansion. accès direct à la plage. titre foncier collectif  prix :730.4 md  <br/ ...,730 400,10/03/2025
Nabeul,Kelibia,Dar Allouche,Bonne affaire de 913 mètre carré agricoledes terrains avec vue imprenable sur la mer. superficie à partir de 913 m² à dar allouche dans une zone en pleine expansion. accès direct à la plage. titre foncier collectif  prix :730.4 md  <br/ ...,730 400,10/03/2025
Nabeul,Kelibia,Kelibia,Occasion de  853 mètre carré au cap bondes terrains avec vue imprenable sur la mer. superficie à partir de 853 m² à hammam el ghezaz dans une zone en pleine expansion. accès direct à la plage. titre foncier collectif  prix :2132.5 md  ...,2 132 500,10/03/2025
Zaghouan,Zaghouan,Sidi Mraieh,7 hectares entre olives et puitsterrain de 7 hectares composé des olives et un puit avec une partie de terre vide loin de godron 250m titre bleu plan cadastre prix/hectare 60md frais de visite 50dt contacter ...,420 000,09/03/2025
Nabeul,Hammamet,Sidi Jedidi,"Terrain de 4000 m avec olivea vendre un terrain de 4000 m² contient des olives en plein production,zone des villas,existence de l éléctricité et eau potable prix/m² 120dt plan cadastre titre bleu individuel f ...",480 000,09/03/2025
Zaghouan,El Fahs,Gherifat,"Terrain olivier avec sondagea vendre un terrain de 20 hectares loin de centre de fahs 20 km et loin de godron 500 m , dans une zone montagnieuse, composé de 1200 olivier, des amandes,un sondage et une maison avec l eau potable < ...",550 000,09/03/2025
Zaghouan,Zaghouan,Zaghouan,"Terrain de 10 hectaresa vendre un terrain de superficie 10 hectares composant d un sondage, des batiments et autres bien immobilier sur godron titre bleu prix 1,5 milliards frais de visite 50dt con ...",1 500 000,09/03/2025
Zaghouan,Zaghouan,Ain Safsaf,15 hectares avec sondage et olivea vendre un terrain agricole de 15 hectares composés des pieds d olives en plein production avec un sondage et d autres arbres fruitiers situé sur godron titre bleu plan cadastre prix 7 ...,750 000,09/03/2025
Sfax,Agareb,Agareb,"Poulaillera vendre, une ferme avicole inachevée sur un terrain de 6 000 mètres carrés   place sfax   note.  dans les journaux, il y a un terrain avec une ferme avicole. pour toute demande de renseigne ...",150 000,09/03/2025
Zaghouan,Bir Mcherga,Sminja,"8h route goudronnée 45km tunisa vendre 8 hectares sur une route goudronnée sminja à 45 km de tunis, terrain plat, excellente qualité des sols, réseau électricité et eau potable disponible sonad, papier légal, prix 320000 dinars <b ...",320 000,11/12/2024
Zaghouan,Bir Mcherga,Delaiel El Arouss,"2h5 dans700 oliviers chitoui de 4 ansa vendre 2,5 hectares, 800 mètres de la route goudronnée à 47 km de tunis,   avec 700 oliviers chitoui de 4 ans, clôturé sur trois côtés, bonne nappe phréatique pour creuser un puits, terrain plat, ex ...",175 000,11/12/2024
Zaghouan,Bir Mcherga,Sminja,"13h route goudronnée 45km tunisa vendre 13 hectares sur une route goudronnée sminja à 45 km de tunis, terrain plat, excellente qualité des sols, réseau électricité et eau potable disponible sonad, papier légal, prix 520000 dinars < ...",520 000,11/12/2024
Nabeul,Soliman,Bou Charray,"Terrain agricole à bou charrayakar conseils propose à la vente un terrain agricole, dune superficie de 20650m² , 2.06 hectares, à côté de délice, bou charay, soliman.  cette ferme est dotée d un accès facile sur une rou ...",500 000,12/02/2024
Nabeul,Hammamet,Cite El Fawara,"Terrain agricoleterrain à vendre à el faouara 350m du route ceinture hammamet -nord/tunis. superficie totale de 2546 m2 à raison de 350dt le m2 titre foncier individuel, équipé par un puits , électricité fo ...",891 100,09/03/2025
Nabeul,Beni Khalled,Beni Khalled,"Ferme en pleine production à el kobba el kbiraakar conseils propose à la vente une ferme en pleine production, dune superficie de 20800m², 2.08 hectares, à el kobba el kbira, béni khalled.  cette ferme est dotée d un accès facile sur u ...",850 000,08/03/2024
Manouba,Oued Ellil,Oued Ellil,"Terrain à chabbaw oued lil manoubaa vendre terrain 2500m2(zitoun) clôturé avec de leau et de léléctricité  bon emplacement à cité chabbaw wed lil , manouba prix 250dt/mètre carré  contactez les numéros 24772413",625 000,09/08/2024
Zaghouan,Bir Mcherga,Ain El Asker,"12 hectares terrain agricole opportunité d affaireexcellente opportunité : a vendre terrain agricole nu de 12,5 hectares dont un hectare planté en oliviers.  autorisation de forage d un sondage de 140 m.  convient pour une plantat ...",360 000,06/10/2024
Zaghouan,Bir Mcherga,Sminja,8h5 ferme d oliveslagence immobiliere harabi met a vendre   une ferme agricole productive dune superficie totale de 8.5 hectares   à sminja sur la route goudronnée à 45 km de tunis contient 1900 oliviers ba ...,800 000,21/12/2024
Manouba,Oued Ellil,Oued Ellil,"Terrain à oued lil avec des buissons d oliviersa vendre un terrain clôturé à vendre à chabbaw oued lil près de la salle des fêtes bonne vue avec de l eau , de l éléctricité et 70 buissons d oliviers surface 2500m2 prix 250dt/m2 cont ...",625 000,12/08/2024
Sfax,Sfax Sud,El Khazzanette,Terrain intéressantterrain à vendre surface 2178 m2 situé entre route aéroport et route manzel chaker km 10 prix négociable,100 000,09/03/2025
Zaghouan,Bir Mcherga,Sminja,"5h route goudronnée 45km tunisa vendre 5 hectares sur une route goudronnée sminja à 45 km de tunis, terrain plat, excellente qualité des sols, réseau électricité et eau potable disponible sonad, papier légal, prix 200000 dinars <b ...",200 000,11/12/2024
Zaghouan,Bir Mcherga,Sminja,"2h5 route goudronnée 45km tunisa vendre 2,5 hectares sur une route goudronnée sminja à 45 km de tunis, terrain plat, excellente qualité des sols, réseau électricité et eau potable disponible sonad, papier légal, prix 100 000 dinars ...",100 000,11/12/2024
Zaghouan,Zaghouan,Zaghouan,"15 hectares nu a al fajjaha al-fajjah, à vendre, un terrain agricole, 15 hectares nu, plat, excellent sol, bonne nappe phréatique, à 28 km de tunis  900 m de la route goudronnée, papiers légaux, prix 450 000 dinars, négociable ...",450 000,21/11/2024
Nabeul,El Haouaria,El Haouaria,"Terrain agricole de 1494m2 a el haouaria cap bonterrain agricole de 1494,5m2 a el haouaria cap bon notre agence ranime immo vous propose pour la vente terrain agricole de 1494,5m2 avec maison de s+2, équipé par puit (bir) et compteur steg ...",80 000,26/10/2024
Zaghouan,Bir Mcherga,Bir Mcherga,"Un endroit magnifique  pour une résidence ruralea vendre 1,5 hectares nu, un endroit magnifique et calme pour une résidence rurale, à 42 km de tunis, possibilité de creuser une puit, réseau d eau potable et électricité, papiers légaux disponibles l ...",100 000,21/11/2024
Zaghouan,Zaghouan,Zaghouan,"Ferme 6 hectares et 7 500 mètres carrésa vendre : un domaine agricole de 6 hectares et 7 500 mètres carrés sur route goudronnée, à 30 km de tunis, clôturé, avec un ancien puits d eau et un nouveau permis de suie d eau, une excellente nappe ...",540 000,21/11/2024
Bizerte,Mateur,Mateur,"Terrain agricoleterrain agricole d une superficie de 12 hectares et demi (12,5 ha) situé à 4 kms du centre ville de mateur. le terrain est en hauteur et légèrement incliné contient environ 3200 arbres productifs : 17 ...",1 250 000,08/03/2025
Sousse,Kalaa El Kebira,Kalaa El Kebira,Terrain agricole pour une villaa vendre terrain agricole double façade  pour villa ou autre surface 4276 m² a kalaa el kebira sur route goudronné composé 40 oliviers eaux électricité titre foncier,160 000,20/08/2022
Ben arous,Fouchana,Naassen,Terrain à naassenagence immobilière elkarama met en vente un grand terrain sur une route goudronnée de superficie de quatre hectares cent ares prés toutes commodités à 3km du marché de gros de bir kaasaa à dix km de t ...,2 000 000,26/12/2023
Ariana,Mnihla,Jardins d el Menzah,Terrain pour des promoteurs au jardin del menzahon  vous propose à la vente un terrain dans un emplacement stratégique pour des promoteurs immobilier   descriptif technique :   localisation :  tunis surface : 4442 m² d ...,11 900 000,25/01/2025
Bizerte,Bizerte Sud,Louata,Terrain 50000mà vendre terrain 50 000 m à louata bizerte sud   localisation louata bizerte sud  proche de la route principale  superficie 50 000 m (5 hectares)  prix  50 mdt hectare  excellente  ...,250 000,22/02/2025
Nabeul,Menzel Bouzelfa,Menzel Bouzelfa,"Ferme à menzel bouzelfaferme de 6 hectares plantée agrumes plusieurs variétés, maison bien entretenue ,bassin de collecte écurie local technique et financière stockage, sur le goudronné, titre foncier individuel.tred bon re ...",1 300 000,08/03/2025
Sousse,Akouda,Chatt Meriem,Terrain 194m pas loin de municipalité chatt mariem#offre à ne pas rater #la sté akariet sarraj #agence #immobilière (#agrée) propose #a vendre #terrain #titré (#194m²)#tantana pas loin de #municipalité #chatt mariem #prix : #84.000md (#négociabl ...,84 000,22/11/2024
Ariana,Sidi Thabet,Sidi Thabet,"Propriété 10hectars a sidi thabetcette ferme agricole est située dans un cadre exceptionnel, sur une artère principale, un havre de paix et de verdure, vous invite à la détente et au repos. a seulement quelques kilomètres de sidi tha ...",5 500 000,05/01/2024
Sousse,Akouda,Chatt Meriem,"Foukaya terrain agricole 3300a vendre terrain agricole de surface 3300m2 comprenant 40 oliviers à foukaia chatt meriem à 100m du goudronné ,réseau electricité et eau sonede disponible.prix 100dt/m2. infos et visite contactez l im ...",330 000,23/06/2022
Sousse,Akouda,Chatt Meriem,Terrain agricole à 200 m du goudronnéesuperficie 4500 m² terrain agricole comprenant  30 pieds d olives  situé à 200 m de la voie goudronnée  présence de l électricité  terrain à vue mer  se trouvant à chott meriem face play tim ...,900 000,22/12/2022
